epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,275.069,0.45835,0.31863,0.99462,0.94922,0.93464,0.96471,0.79807,0.74763,0.45476,1.14336,0.000189475,0.000189475,0.000189475
74,278.746,0.42693,0.29638,0.98378,0.95611,0.94118,0.96605,0.79384,0.74978,0.43595,1.15551,0.000177651,0.000177651,0.000177651
75,282.419,0.45147,0.30828,0.99593,0.95998,0.9406,0.96665,0.79997,0.71838,0.42986,1.10338,0.000166149,0.000166149,0.000166149
76,286.084,0.44359,0.30978,0.97851,0.95955,0.94118,0.96825,0.80313,0.69974,0.41951,1.07531,0.000154982,0.000154982,0.000154982
77,289.846,0.4555,0.31583,0.99213,0.96883,0.9281,0.9611,0.79919,0.6807,0.4086,1.05872,0.000144161,0.000144161,0.000144161
78,293.502,0.43005,0.30113,0.98353,0.96082,0.9281,0.96242,0.80314,0.68803,0.41152,1.06062,0.000133695,0.000133695,0.000133695
79,297.172,0.43014,0.30137,0.98664,0.96577,0.9221,0.9682,0.80154,0.69122,0.41444,1.06026,0.000123596,0.000123596,0.000123596
80,300.885,0.45205,0.30844,0.98669,0.95938,0.92618,0.96774,0.803,0.69614,0.40511,1.06545,0.000113873,0.000113873,0.000113873
81,304.612,0.4144,0.28903,0.98815,0.96598,0.92794,0.96919,0.80419,0.68954,0.4078,1.05375,0.000104537,0.000104537,0.000104537
82,308.829,0.42766,0.28598,0.9739,0.96617,0.93341,0.96869,0.81059,0.69274,0.40893,1.0555,9.55951e-05,9.55951e-05,9.55951e-05
83,313.142,0.43065,0.29736,0.98628,0.96357,0.93464,0.97104,0.81274,0.70434,0.40434,1.06474,8.70577e-05,8.70577e-05,8.70577e-05
84,317.627,0.45101,0.30724,0.99121,0.96045,0.93464,0.9688,0.81438,0.68941,0.40321,1.05355,7.89327e-05,7.89327e-05,7.89327e-05
85,322.057,0.42463,0.29958,0.9697,0.96615,0.93274,0.96875,0.81227,0.67274,0.40046,1.0476,7.12282e-05,7.12282e-05,7.12282e-05
86,325.98,0.40488,0.28896,0.98295,0.95975,0.93507,0.96851,0.81518,0.65493,0.39794,1.031,6.39518e-05,6.39518e-05,6.39518e-05
87,329.84,0.39988,0.28636,0.97901,0.95994,0.93464,0.96166,0.80793,0.65329,0.39703,1.03514,5.71106e-05,5.71106e-05,5.71106e-05
88,333.624,0.41824,0.2922,0.97601,0.95949,0.92874,0.96225,0.8143,0.65396,0.4025,1.03436,5.07115e-05,5.07115e-05,5.07115e-05
89,337.404,0.4286,0.28996,0.98353,0.9578,0.9281,0.96275,0.80851,0.66196,0.39782,1.03848,4.47606e-05,4.47606e-05,4.47606e-05
90,341.226,0.40416,0.28838,0.96768,0.96099,0.9281,0.96362,0.81301,0.6734,0.39842,1.05038,3.9264e-05,3.9264e-05,3.9264e-05
91,375.604,0.38128,0.24787,0.94054,0.96292,0.93464,0.96708,0.81464,0.67873,0.3979,1.05873,3.4227e-05,3.4227e-05,3.4227e-05
92,379.55,0.36439,0.25382,0.93759,0.97243,0.93464,0.96751,0.81233,0.67179,0.39574,1.05365,2.96546e-05,2.96546e-05,2.96546e-05
93,383.307,0.35956,0.23529,0.94972,0.97512,0.93464,0.96763,0.81774,0.66877,0.39794,1.04819,2.55513e-05,2.55513e-05,2.55513e-05
94,387.074,0.37446,0.23991,0.94552,0.96297,0.9281,0.96292,0.81131,0.66611,0.39926,1.04324,2.19212e-05,2.19212e-05,2.19212e-05
95,390.703,0.36058,0.23596,0.93371,0.96797,0.9281,0.9628,0.80919,0.66814,0.40711,1.04327,1.87678e-05,1.87678e-05,1.87678e-05
96,394.413,0.35435,0.23308,0.93871,0.96744,0.9281,0.9633,0.80822,0.67089,0.40139,1.04447,1.60943e-05,1.60943e-05,1.60943e-05
97,398.115,0.37121,0.25321,0.95111,0.97191,0.9281,0.96206,0.81147,0.67009,0.39991,1.04535,1.39032e-05,1.39032e-05,1.39032e-05
98,401.547,0.38056,0.23964,0.94165,0.97142,0.9281,0.96214,0.81282,0.66708,0.39846,1.04631,1.21968e-05,1.21968e-05,1.21968e-05
99,405.268,0.35356,0.22473,0.9292,0.96535,0.9281,0.96219,0.81244,0.66511,0.39609,1.043,1.09768e-05,1.09768e-05,1.09768e-05
100,408.914,0.35916,0.23229,0.95514,0.96599,0.9281,0.96354,0.81122,0.66208,0.39972,1.03839,1.02443e-05,1.02443e-05,1.02443e-05
